abilities.0	abilities.1	abilities.2	abilities.3	abilities.4	abilities.5	description	evolution.0	evolution.1	evolution.2	evolution.3	gen	height	id	name	species	stats.attack	stats.defense	stats.hp	stats.sp.atk	stats.sp.def	stats.speed	stats.total	type.0	type.1	weight
Overgrow	Chlorophyll					For some time after its birth, it grows by gaining nourishment from the seed on its back.	Bulbasaur	Ivysaur	Venusaur		1	0.71m	001	Bulbasaur	Seed Pokemon	49	49	45	65	65	45	318	Grass	Poison	6.9 kg
Overgrow	Chlorophyll					When the bud on its back starts swelling, a sweet aroma wafts to indicate the flowers coming bloom.	Bulbasaur	Ivysaur	Venusaur		1	0.99m	002	Ivysaur	Seed Pokemon	62	63	60	80	80	60	405	Grass	Poison	13.0 kg
Overgrow	Chlorophyll					After a rainy day, the flower on its back smells stronger. The scent attracts other Pokemon.	Bulbasaur	Ivysaur	Venusaur		1	2.01m	003	Venusaur	Seed Pokemon	82	83	80	100	100	80	525	Grass	Poison	100.0 kg
Blaze	Solar Power					The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.	Charmander	Charmeleon	Charizard		1	0.61m	004	Charmander	Lizard Pokemon	52	43	39	60	50	65	309	Fire		8.5 kg
Blaze	Solar Power					In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars.	Charmander	Charmeleon	Charizard		1	1.09m	005	Charmeleon	Flame Pokemon	64	58	58	80	65	80	405	Fire		19.0 kg
Blaze	Solar Power					It is said that Charizards fire burns hotter if it has experienced harsh battles.	Charmander	Charmeleon	Charizard		1	1.70m	006	Charizard	Flame Pokemon	84	78	78	109	85	100	534	Fire	Flying	90.5 kg
Torrent	Rain Dish					It shelters itself in its shell then strikes back with spouts of water at every opportunity.	Squirtle	Wartortle	Blastoise		1	0.51m	007	Squirtle	Tiny Turtle Pokemon	48	65	44	50	64	43	314	Water		9.0 kg
Torrent	Rain Dish					It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.	Squirtle	Wartortle	Blastoise		1	0.99m	008	Wartortle	Turtle Pokemon	63	80	59	65	80	58	405	Water		22.5 kg
Torrent	Rain Dish					The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.	Squirtle	Wartortle	Blastoise		1	1.60m	009	Blastoise	Shellfish Pokemon	83	100	79	85	105	78	530	Water		85.5 kg
Shield Dust	Run Away					It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly.	Caterpie	Metapod	Butterfree		1	0.30m	010	Caterpie	Worm Pokemon	30	35	45	20	20	45	195	Bug		2.9 kg
Shed Skin						A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.	Caterpie	Metapod	Butterfree		1	0.71m	011	Metapod	Cocoon Pokemon	20	55	50	25	25	30	205	Bug		9.9 kg
Compound Eyes	Tinted Lens					It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.	Caterpie	Metapod	Butterfree		1	1.09m	012	Butterfree	Butterfly Pokemon	45	50	60	90	80	70	395	Bug	Flying	32.0 kg
Shield Dust	Run Away					It eats its weight in leaves every day. It fends off attackers with the needle on its head.	Weedle	Kakuna	Beedrill		1	0.30m	013	Weedle	Hairy Bug Pokemon	35	30	40	20	20	50	195	Bug	Poison	3.2 kg
Shed Skin						While awaiting evolution, it hides from predators under leaves and in nooks of branches.	Weedle	Kakuna	Beedrill		1	0.61m	014	Kakuna	Cocoon Pokemon	25	50	45	25	25	35	205	Bug	Poison	10.0 kg
Swarm	Sniper					Its best attack involves flying around at high speed, striking with poison needles, then flying off.	Weedle	Kakuna	Beedrill		1	0.99m	015	Beedrill	Poison Bee Pokemon	90	40	65	45	80	75	395	Bug	Poison	29.5 kg
Keen Eye	Tangled Feet	Big Pecks				It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back.	Pidgey	Pidgeotto	Pidgeot		1	0.30m	016	Pidgey	Tiny Bird Pokemon	45	40	40	35	35	56	251	Normal	Flying	1.8 kg
Keen Eye	Tangled Feet	Big Pecks				It flies over its wide territory in search of prey, downing it with its highly developed claws.	Pidgey	Pidgeotto	Pidgeot		1	1.09m	017	Pidgeotto	Bird Pokemon	60	55	63	50	50	71	349	Normal	Flying	30.0 kg
Keen Eye	Tangled Feet	Big Pecks				It flies over its wide territory in search of prey, downing it with its highly developed claws.	Pidgey	Pidgeotto	Pidgeot		1	1.50m	018	Pidgeot	Bird Pokemon	80	75	83	70	70	101	479	Normal	Flying	39.5 kg
Guts	Run Away	Hustle				It searches for food all day. It gnaws on hard objects to wear down its fangs, which grow constantly during its lifetime.	Rattata	Raticate			1	0.30m	019	Rattata	Mouse Pokemon	56	35	30	25	35	72	253	Normal		3.5 kg
Guts	Run Away	Hustle				With its long fangs, this surprisingly violent Pokemon can gnaw away even thick concrete with ease.	Rattata	Raticate			1	0.71m	020	Raticate	Mouse Pokemon	81	60	55	50	70	97	413	Normal		18.5 kg
Keen Eye	Sniper					It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.	Spearow	Fearow			1	0.30m	021	Spearow	Tiny Bird Pokemon	60	30	40	31	31	70	262	Normal	Flying	2.0 kg
Keen Eye	Sniper					It has the stamina to fly all day on its broad wings. It fights by using its sharp beak.	Spearow	Fearow			1	1.19m	022	Fearow	Beak Pokemon	90	65	65	61	61	100	442	Normal	Flying	38.0 kg
Intimidate	Shed Skin	Unnerve				It sneaks through grass without making a sound and strikes unsuspecting prey from behind.	Ekans	Arbok			1	2.01m	023	Ekans	Snake Pokemon	60	44	35	40	54	55	288	Poison		6.9 kg
Intimidate	Shed Skin	Unnerve				The pattern on its belly is for intimidation. It constricts foes while they are frozen in fear.	Ekans	Arbok			1	3.51m	024	Arbok	Cobra Pokemon	85	69	60	65	79	80	438	Poison		65.0 kg
Static	Lightning Rod					It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.	Pikachu	Raichu			1	0.41m	025	Pikachu	Mouse Pokemon	55	40	35	50	50	90	320	Electric		6.0 kg
Static	Lightning Rod					Its tail discharges electricity into the ground, protecting it from getting shocked.	Pikachu	Raichu			1	0.79m	026	Raichu	Mouse Pokemon	90	55	60	90	80	110	485	Electric		30.0 kg
Sand Veil	Sand Rush					It digs deep burrows to live in. When in danger, it rolls up its body to withstand attacks.	Sandshrew	Sandslash			1	0.61m	027	Sandshrew	Mouse Pokemon	75	85	50	20	30	40	300	Ground		12.0 kg
Sand Veil	Sand Rush					The spikes on its body are made up of its hardened hide. It rolls up and attacks foes with its spikes.	Sandshrew	Sandslash			1	0.99m	028	Sandslash	Mouse Pokemon	100	110	75	45	55	65	450	Ground		29.5 kg
Poison Point	Rivalry	Hustle				While it does not prefer to fight, even one drop of the poison it secretes from barbs can be fatal.	NidoranÃ¢â„¢â‚¬	Nidorina	Nidoqueen		1	0.41m	029	NidoranÃ¢â„¢â‚¬	Poison Pin Pokemon	47	52	55	40	40	41	275	Poison		7.0 kg
Poison Point	Rivalry	Hustle				When it senses danger, it raises all the barbs on its body. These barbs grow slower than Nidorinos.	NidoranÃ¢â„¢â‚¬	Nidorina	Nidoqueen		1	0.79m	030	Nidorina	Poison Pin Pokemon	62	67	70	55	55	56	365	Poison		20.0 kg
